gene_name	p_value	avg_logFC	pct.1	pct.2	p value adjusted	cluster	gene
EMP3	5.02E-33	-0.394347695	0.709	0.747	6.88E-29	0	EMP3
C12orf57	5.40E-33	0.515489783	0.426	0.207	7.41E-29	0	C12orf57
ARHGAP15	7.27E-33	0.366173821	0.385	0.194	9.97E-29	0	ARHGAP15
Mar-01	8.66E-33	-0.471578338	0.013	0.122	1.19E-28	0	Mar-01
PASK	1.09E-32	0.511010278	0.128	0.015	1.50E-28	0	PASK
GAPT	1.72E-32	-0.432644419	0.006	0.106	2.35E-28	0	GAPT
ALDOA	1.75E-32	-0.284535617	0.698	0.701	2.40E-28	0	ALDOA
CLEC7A	3.45E-32	-0.371619926	0.009	0.111	4.73E-28	0	CLEC7A
CD300A	4.10E-32	-0.487024829	0.047	0.184	5.62E-28	0	CD300A
DNAJB1	5.95E-32	0.51074815	0.41	0.202	8.16E-28	0	DNAJB1
PEBP1	6.54E-32	0.424789221	0.501	0.285	8.97E-28	0	PEBP1
MT-ND1	6.83E-32	-0.325884511	0.939	0.953	9.36E-28	0	MT-ND1
IFITM1	9.59E-32	0.306802188	0.601	0.38	1.32E-27	0	IFITM1
FYB	1.60E-31	0.401402014	0.485	0.279	2.20E-27	0	FYB
NOP10	1.95E-31	-0.472513605	0.216	0.351	2.67E-27	0	NOP10
CD69	2.50E-31	0.458201536	0.487	0.263	3.43E-27	0	CD69
SNX10	2.76E-31	-0.500403956	0.029	0.144	3.78E-27	0	SNX10
OXNAD1	4.73E-31	0.466412033	0.203	0.053	6.49E-27	0	OXNAD1
SPON2	6.87E-31	-0.736813226	0.03	0.116	9.42E-27	0	SPON2
BCL11B	1.03E-30	0.364054515	0.147	0.032	1.42E-26	0	BCL11B
SOD1	1.45E-30	0.439614347	0.63	0.417	1.98E-26	0	SOD1
MSRB1	1.58E-30	-0.47132043	0.035	0.16	2.16E-26	0	MSRB1
SCIMP	1.62E-30	-0.362777626	0.019	0.125	2.22E-26	0	SCIMP
EIF4A2	1.71E-30	0.356517123	0.753	0.552	2.35E-26	0	EIF4A2
CD300E	1.85E-30	-0.372957684	0.006	0.103	2.54E-26	0	CD300E
H2AFY	4.35E-30	-0.56323126	0.217	0.352	5.97E-26	0	H2AFY
LILRA3	4.66E-30	-0.406415309	0.006	0.101	6.39E-26	0	LILRA3
OAZ2	8.74E-30	-0.485924816	0.082	0.219	1.20E-25	0	OAZ2
MEF2C	1.08E-29	-0.453111134	0.012	0.114	1.47E-25	0	MEF2C
HMOX1	1.61E-29	-0.383859437	0.011	0.111	2.21E-25	0	HMOX1
WARS	1.64E-29	-0.518636419	0.059	0.191	2.25E-25	0	WARS
YBX3	2.57E-29	-0.480335256	0.032	0.155	3.52E-25	0	YBX3
SH3YL1	2.57E-29	0.456368759	0.176	0.041	3.53E-25	0	SH3YL1
AOAH	2.70E-29	-0.453473972	0.047	0.183	3.70E-25	0	AOAH
BEX2	2.75E-29	0.303055329	0.178	0.054	3.77E-25	0	BEX2
TTC39C	4.51E-29	0.477800128	0.219	0.068	6.19E-25	0	TTC39C
LILRB2	6.51E-29	-0.405257662	0.027	0.152	8.93E-25	0	LILRB2
SNX2	6.67E-29	-0.485931497	0.127	0.275	9.15E-25	0	SNX2
GNAI2	6.75E-29	-0.485518629	0.15	0.285	9.25E-25	0	GNAI2
CD6	7.19E-29	0.411837187	0.187	0.052	9.86E-25	0	CD6
CX3CR1	1.12E-28	-0.44757077	0.017	0.12	1.54E-24	0	CX3CR1
TNFAIP2	1.28E-28	-0.429226985	0.01	0.106	1.75E-24	0	TNFAIP2
CD302	1.49E-28	-0.333937582	0.01	0.104	2.05E-24	0	CD302
CXXC5	1.63E-28	-0.422777415	0.014	0.115	2.24E-24	0	CXXC5
BANK1	2.02E-28	-0.571169848	0.032	0.14	2.77E-24	0	BANK1
ASCL2	2.62E-28	-0.375486592	0.009	0.105	3.60E-24	0	ASCL2
SYK	2.84E-28	-0.392198463	0.017	0.125	3.89E-24	0	SYK
SCO2	3.67E-28	-0.445513989	0.059	0.186	5.04E-24	0	SCO2
ATP6V1F	3.88E-28	-0.502510596	0.283	0.434	5.32E-24	0	ATP6V1F
TRAF3IP3	4.69E-28	0.427972217	0.597	0.392	6.43E-24	0	TRAF3IP3
GLRX	5.37E-28	-0.46252214	0.296	0.427	7.36E-24	0	GLRX
TPI1	5.62E-28	-0.411125302	0.423	0.563	7.71E-24	0	TPI1
VASP	7.30E-28	-0.489150864	0.17	0.349	1.00E-23	0	VASP
CSF1R	8.04E-28	-0.371301513	0.012	0.114	1.10E-23	0	CSF1R
NDFIP1	8.28E-28	0.517143145	0.434	0.239	1.14E-23	0	NDFIP1
IL1B	8.30E-28	-0.600880894	0.017	0.123	1.14E-23	0	IL1B
MYC	1.08E-27	0.389163351	0.229	0.084	1.48E-23	0	MYC
TNFRSF4	1.20E-27	0.42656832	0.115	0.015	1.65E-23	0	TNFRSF4
RCAN3	1.23E-27	0.431048176	0.184	0.053	1.69E-23	0	RCAN3
IFI6	1.40E-27	-0.506367464	0.294	0.48	1.92E-23	0	IFI6
CD5	2.26E-27	0.39430574	0.138	0.025	3.10E-23	0	CD5
RGS19	2.78E-27	-0.43246378	0.187	0.327	3.81E-23	0	RGS19
NELL2	2.90E-27	0.428821693	0.124	0.019	3.98E-23	0	NELL2
SLC2A3	6.11E-27	0.558416662	0.347	0.177	8.38E-23	0	SLC2A3
TESC	7.23E-27	-0.399008413	0.018	0.125	9.91E-23	0	TESC
SERPINB1	8.61E-27	-0.48368115	0.274	0.426	1.18E-22	0	SERPINB1
PRAM1	1.18E-26	-0.351990525	0.012	0.109	1.62E-22	0	PRAM1
C4orf48	1.32E-26	-0.44052317	0.089	0.212	1.81E-22	0	C4orf48
SELM	1.54E-26	0.33043455	0.171	0.052	2.11E-22	0	SELM
AAK1	1.79E-26	0.414875637	0.232	0.081	2.46E-22	0	AAK1
THEMIS2	2.10E-26	-0.438038432	0.047	0.168	2.87E-22	0	THEMIS2
APOBEC3G	2.19E-26	-0.547114577	0.137	0.273	3.01E-22	0	APOBEC3G
SOCS3	2.47E-26	0.530689059	0.261	0.109	3.39E-22	0	SOCS3
PSMB3	2.76E-26	-0.387284703	0.298	0.44	3.79E-22	0	PSMB3
TMEM205	4.23E-26	-0.470069088	0.056	0.153	5.81E-22	0	TMEM205
C10orf54	4.73E-26	-0.397070642	0.316	0.41	6.48E-22	0	C10orf54
CASP1	9.45E-26	-0.482407423	0.185	0.334	1.30E-21	0	CASP1
HSBP1	1.37E-25	-0.470365488	0.077	0.222	1.88E-21	0	HSBP1
ISG15	1.71E-25	-0.49134253	0.351	0.516	2.35E-21	0	ISG15
HOPX	2.19E-25	-0.653446298	0.096	0.189	3.01E-21	0	HOPX
DYNLL1	2.52E-25	-0.438394375	0.277	0.382	3.46E-21	0	DYNLL1
MGAT4A	2.99E-25	0.390292699	0.204	0.069	4.10E-21	0	MGAT4A
DDX5	3.21E-25	0.286316854	0.889	0.751	4.40E-21	0	DDX5
C14orf64	3.37E-25	0.32471326	0.105	0.016	4.62E-21	0	C14orf64
ARPC5L	3.75E-25	-0.320326523	0.158	0.206	5.14E-21	0	ARPC5L
CALM2	4.98E-25	-0.338238837	0.498	0.565	6.84E-21	0	CALM2
CISH	5.28E-25	0.279743575	0.13	0.038	7.24E-21	0	CISH
NFKBIA	6.19E-25	-0.486785855	0.385	0.505	8.49E-21	0	NFKBIA
REEP5	6.52E-25	-0.468888509	0.173	0.325	8.94E-21	0	REEP5
CRIP2	6.61E-25	0.412950186	0.115	0.018	9.07E-21	0	CRIP2
DBI	7.48E-25	-0.400745776	0.284	0.404	1.03E-20	0	DBI
G0S2	7.64E-25	-0.64215753	0.021	0.104	1.05E-20	0	G0S2
ID2	1.02E-24	-0.498353058	0.29	0.456	1.40E-20	0	ID2
PPP1CA	1.15E-24	-0.357545785	0.457	0.558	1.57E-20	0	PPP1CA
CASP4	1.16E-24	-0.374491074	0.264	0.351	1.58E-20	0	CASP4
SLC25A5	1.35E-24	-0.394930316	0.439	0.551	1.85E-20	0	SLC25A5
RGS10	1.47E-24	0.298287264	0.52	0.334	2.01E-20	0	RGS10
PRDX5	1.90E-24	-0.417681424	0.279	0.407	2.60E-20	0	PRDX5
SMIM14	2.01E-24	-0.492985437	0.043	0.146	2.76E-20	0	SMIM14
TPST2	2.93E-24	-0.409075985	0.097	0.176	4.01E-20	0	TPST2
PGLS	3.24E-24	-0.428691791	0.197	0.37	4.44E-20	0	PGLS
BAX	4.82E-24	-0.400675595	0.219	0.366	6.61E-20	0	BAX
POLD4	5.67E-24	-0.399665236	0.269	0.4	7.77E-20	0	POLD4
SLC16A3	5.80E-24	-0.371005288	0.018	0.111	7.96E-20	0	SLC16A3
GCA	7.28E-24	-0.472308402	0.054	0.184	9.98E-20	0	GCA
GZMK	1.05E-23	-0.921132135	0.059	0.16	1.44E-19	0	GZMK
LAPTM5	2.40E-23	-0.296931064	0.768	0.801	3.29E-19	0	LAPTM5
GRINA	2.43E-23	-0.351757159	0.041	0.144	3.34E-19	0	GRINA
SCGB3A1	2.71E-23	0.371619264	0.102	0.014	3.72E-19	0	SCGB3A1
SEC11A	3.92E-23	-0.416624832	0.245	0.387	5.37E-19	0	SEC11A
STMN3	4.29E-23	0.34080335	0.171	0.057	5.88E-19	0	STMN3
GYPC	7.63E-23	0.428151039	0.391	0.214	1.05E-18	0	GYPC
UBE2L6	8.66E-23	-0.474506723	0.261	0.402	1.19E-18	0	UBE2L6
SAT2	9.99E-23	-0.440825789	0.104	0.217	1.37E-18	0	SAT2
SH3BGRL	1.00E-22	-0.365496097	0.366	0.494	1.37E-18	0	SH3BGRL
TNFRSF1B	1.02E-22	-0.440671829	0.067	0.195	1.39E-18	0	TNFRSF1B
ALOX5	1.38E-22	-0.349968094	0.025	0.129	1.89E-18	0	ALOX5
TMEM204	1.64E-22	0.331065025	0.134	0.035	2.24E-18	0	TMEM204
LAMTOR1	1.68E-22	-0.37342427	0.246	0.415	2.31E-18	0	LAMTOR1
CSTB	1.81E-22	-0.398706039	0.31	0.408	2.48E-18	0	CSTB
CAPZA2	1.93E-22	-0.281034978	0.178	0.231	2.65E-18	0	CAPZA2
IDH3G	2.90E-22	-0.314468262	0.159	0.228	3.98E-18	0	IDH3G
PPA1	3.03E-22	0.41996012	0.413	0.237	4.15E-18	0	PPA1
LAIR1	3.16E-22	-0.338668814	0.047	0.122	4.33E-18	0	LAIR1
GIMAP4	3.64E-22	0.461735045	0.554	0.382	4.99E-18	0	GIMAP4
LSP1	4.13E-22	-0.339146952	0.473	0.592	5.66E-18	0	LSP1
SYNGR2	4.16E-22	-0.383988311	0.071	0.182	5.70E-18	0	SYNGR2
PSIP1	4.95E-22	0.356906974	0.269	0.127	6.79E-18	0	PSIP1
C20orf27	5.28E-22	-0.399301665	0.071	0.169	7.24E-18	0	C20orf27
COX5B	5.90E-22	-0.317584575	0.464	0.526	8.09E-18	0	COX5B
NUDT16	6.37E-22	-0.350012035	0.023	0.116	8.74E-18	0	NUDT16
WDR83OS	1.07E-21	-0.379237074	0.268	0.401	1.47E-17	0	WDR83OS
TMEM179B	1.19E-21	-0.365533581	0.093	0.211	1.63E-17	0	TMEM179B
SIT1	1.74E-21	0.394738317	0.222	0.085	2.38E-17	0	SIT1
UNC93B1	2.05E-21	-0.328928139	0.026	0.126	2.81E-17	0	UNC93B1
S100A10	2.21E-21	-0.287824932	0.634	0.643	3.03E-17	0	S100A10
UBE2D1	2.64E-21	-0.363131407	0.07	0.131	3.62E-17	0	UBE2D1
TCEB2	9.66E-21	-0.330092771	0.441	0.52	1.33E-16	0	TCEB2
ADRBK1	1.13E-20	-0.28566219	0.053	0.13	1.55E-16	0	ADRBK1
RGL4	1.21E-20	0.360532157	0.176	0.061	1.65E-16	0	RGL4
MZT2A	1.69E-20	0.316835498	0.351	0.192	2.32E-16	0	MZT2A
NCR3	1.94E-20	-0.505099193	0.05	0.129	2.67E-16	0	NCR3
PSME2	2.58E-20	-0.322285696	0.506	0.583	3.54E-16	0	PSME2
DBNL	2.62E-20	-0.30826087	0.185	0.279	3.60E-16	0	DBNL
NBPF10	2.86E-20	-0.296517197	0.022	0.109	3.92E-16	0	NBPF10
ANKRD12	2.98E-20	0.266967866	0.375	0.226	4.08E-16	0	ANKRD12
EPSTI1	3.27E-20	-0.371318886	0.115	0.226	4.49E-16	0	EPSTI1
ANXA4	4.05E-20	-0.357473221	0.044	0.14	5.55E-16	0	ANXA4
PSMB9	4.06E-20	-0.324124672	0.513	0.631	5.56E-16	0	PSMB9
TCIRG1	5.70E-20	-0.33051436	0.04	0.141	7.82E-16	0	TCIRG1
CD83	5.85E-20	-0.341231845	0.023	0.111	8.03E-16	0	CD83
CLTA	8.86E-20	-0.381460756	0.212	0.343	1.21E-15	0	CLTA
ATP1B3	9.96E-20	-0.383446217	0.098	0.212	1.37E-15	0	ATP1B3
RAB24	1.05E-19	-0.35131347	0.04	0.135	1.44E-15	0	RAB24
USP10	1.15E-19	0.370733073	0.138	0.038	1.57E-15	0	USP10
TESPA1	1.28E-19	0.335103169	0.123	0.029	1.75E-15	0	TESPA1
DUSP6	1.61E-19	-0.345720309	0.035	0.134	2.21E-15	0	DUSP6
RNF181	1.96E-19	-0.335105163	0.17	0.25	2.69E-15	0	RNF181
CAMK4	2.10E-19	0.361003558	0.156	0.053	2.88E-15	0	CAMK4
BLOC1S1	2.14E-19	-0.417080238	0.224	0.373	2.94E-15	0	BLOC1S1
PLSCR1	2.25E-19	-0.362667402	0.078	0.185	3.09E-15	0	PLSCR1
TAGLN2	2.39E-19	-0.351516383	0.461	0.541	3.27E-15	0	TAGLN2
SOD2	2.42E-19	-0.390402034	0.155	0.235	3.32E-15	0	SOD2
PGD	2.50E-19	-0.363462111	0.062	0.157	3.42E-15	0	PGD
PBXIP1	3.05E-19	0.296782245	0.232	0.106	4.18E-15	0	PBXIP1
GRB2	3.16E-19	-0.357279788	0.129	0.224	4.34E-15	0	GRB2
FOSB	3.26E-19	-0.282405672	0.458	0.504	4.47E-15	0	FOSB
GLIPR2	4.53E-19	-0.371071329	0.154	0.272	6.22E-15	0	GLIPR2
PTPRE	6.75E-19	-0.32098229	0.041	0.122	9.25E-15	0	PTPRE
NDUFS7	6.90E-19	-0.317378607	0.233	0.33	9.46E-15	0	NDUFS7
RAB7A	7.04E-19	-0.283156571	0.271	0.339	9.65E-15	0	RAB7A
CHMP4B	7.46E-19	-0.297895882	0.117	0.215	1.02E-14	0	CHMP4B
CCDC12	8.25E-19	-0.259958839	0.22	0.266	1.13E-14	0	CCDC12
FXYD5	8.53E-19	0.277409284	0.812	0.667	1.17E-14	0	FXYD5
ENY2	8.71E-19	-0.348126616	0.137	0.237	1.19E-14	0	ENY2
NDUFB7	9.07E-19	-0.321252693	0.227	0.329	1.24E-14	0	NDUFB7
TRADD	1.00E-18	0.477227008	0.244	0.125	1.38E-14	0	TRADD
ATOX1	1.01E-18	-0.337671218	0.054	0.166	1.38E-14	0	ATOX1
CCDC104	1.26E-18	0.352590557	0.129	0.034	1.73E-14	0	CCDC104
BTG2	1.35E-18	0.389432341	0.448	0.289	1.85E-14	0	BTG2
COMMD6	1.65E-18	0.308105308	0.681	0.534	2.27E-14	0	COMMD6
NOTCH2NL	1.66E-18	-0.319438804	0.053	0.138	2.28E-14	0	NOTCH2NL
MATK	1.71E-18	-0.3987579	0.024	0.102	2.34E-14	0	MATK
SAMD3	1.80E-18	-0.287754355	0.104	0.125	2.47E-14	0	SAMD3
NAGK	2.87E-18	-0.320876301	0.067	0.166	3.94E-14	0	NAGK
NINJ1	3.02E-18	-0.323754329	0.099	0.195	4.14E-14	0	NINJ1
CDKN2D	3.31E-18	-0.341095994	0.176	0.253	4.53E-14	0	CDKN2D
ANXA5	3.64E-18	-0.419397549	0.23	0.358	5.00E-14	0	ANXA5
MT2A	4.05E-18	-0.461083769	0.241	0.369	5.55E-14	0	MT2A
IMPDH1	4.86E-18	-0.296750031	0.033	0.123	6.66E-14	0	IMPDH1
MIR24-2	5.56E-18	-0.400940471	0.053	0.152	7.63E-14	0	MIR24-2
TNFRSF1A	7.59E-18	-0.306123458	0.049	0.124	1.04E-13	0	TNFRSF1A
BIN1	8.04E-18	0.281798336	0.329	0.186	1.10E-13	0	BIN1
SNX17	8.81E-18	-0.290098974	0.18	0.245	1.21E-13	0	SNX17
ATG3	8.85E-18	-0.357020997	0.143	0.26	1.21E-13	0	ATG3
DRAP1	9.21E-18	-0.315469804	0.419	0.493	1.26E-13	0	DRAP1
TGFB1	9.70E-18	-0.397097127	0.133	0.248	1.33E-13	0	TGFB1
GATA3	1.08E-17	0.339054572	0.132	0.038	1.49E-13	0	GATA3
PGAM1	1.30E-17	-0.296590423	0.179	0.275	1.78E-13	0	PGAM1
TMEM208	1.48E-17	-0.271305072	0.094	0.149	2.03E-13	0	TMEM208
TPM4	1.70E-17	-0.30757993	0.097	0.151	2.33E-13	0	TPM4
C9orf142	2.27E-17	-0.291481823	0.213	0.263	3.11E-13	0	C9orf142
NUCB2	2.61E-17	0.333200362	0.177	0.069	3.58E-13	0	NUCB2
LINC00861	3.03E-17	0.315875359	0.144	0.047	4.16E-13	0	LINC00861
RBX1	3.20E-17	-0.329967973	0.22	0.341	4.39E-13	0	RBX1
PSMA7	3.20E-17	-0.347225872	0.508	0.596	4.39E-13	0	PSMA7
IRF7	3.28E-17	-0.37563844	0.1	0.208	4.49E-13	0	IRF7
GSTO1	3.36E-17	-0.41324366	0.219	0.339	4.61E-13	0	GSTO1
HIST1H2BK	4.08E-17	-0.31357682	0.048	0.101	5.59E-13	0	HIST1H2BK
SAMHD1	4.38E-17	-0.294629902	0.201	0.271	6.01E-13	0	SAMHD1
MIDN	5.82E-17	-0.327198043	0.054	0.146	7.98E-13	0	MIDN
PRKCB	6.21E-17	-0.423864976	0.084	0.18	8.51E-13	0	PRKCB
LAMTOR2	6.85E-17	-0.38499002	0.147	0.277	9.39E-13	0	LAMTOR2
MIR142	7.71E-17	-0.358247147	0.097	0.222	1.06E-12	0	MIR142
CYB561A3	7.75E-17	-0.345474204	0.055	0.119	1.06E-12	0	CYB561A3
SRA1	7.92E-17	-0.379300863	0.06	0.136	1.09E-12	0	SRA1
SNRPD2	8.10E-17	0.29701887	0.654	0.501	1.11E-12	0	SNRPD2
COMT	8.98E-17	-0.291458038	0.106	0.191	1.23E-12	0	COMT
AGPAT2	1.07E-16	-0.255153636	0.03	0.111	1.47E-12	0	AGPAT2
SMS	1.17E-16	-0.304306149	0.118	0.202	1.60E-12	0	SMS
LTA4H	1.66E-16	-0.336949617	0.11	0.2	2.27E-12	0	LTA4H
DDAH2	2.30E-16	-0.291439806	0.023	0.102	3.15E-12	0	DDAH2
CAST	2.57E-16	-0.29884269	0.115	0.197	3.53E-12	0	CAST
NAPRT1	2.89E-16	-0.312265206	0.077	0.158	3.97E-12	0	NAPRT1
MOB1A	3.02E-16	-0.274892586	0.15	0.228	4.15E-12	0	MOB1A
CDKN1A	3.30E-16	-0.299781648	0.026	0.103	4.52E-12	0	CDKN1A
COX5A	3.60E-16	-0.335701068	0.286	0.395	4.93E-12	0	COX5A
AKIRIN2	3.76E-16	-0.314277977	0.072	0.17	5.16E-12	0	AKIRIN2
NAAA	3.93E-16	-0.321228476	0.124	0.219	5.39E-12	0	NAAA
Sep-01	4.03E-16	0.362514748	0.312	0.17	5.52E-12	0	Sep-01
GLIPR1	4.11E-16	-0.340274187	0.134	0.257	5.64E-12	0	GLIPR1
STX10	4.17E-16	-0.257691474	0.107	0.175	5.72E-12	0	STX10
GYG1	4.61E-16	-0.366864093	0.074	0.143	6.32E-12	0	GYG1
NMRK1	4.89E-16	0.271635923	0.151	0.06	6.71E-12	0	NMRK1
LSMD1	4.99E-16	-0.283647508	0.124	0.211	6.84E-12	0	LSMD1
CYLD	6.22E-16	0.292644235	0.167	0.072	8.53E-12	0	CYLD
EIF4E2	6.61E-16	-0.296883405	0.109	0.188	9.06E-12	0	EIF4E2
TLN1	8.97E-16	-0.327963791	0.07	0.167	1.23E-11	0	TLN1
CREG1	9.32E-16	-0.276547241	0.028	0.101	1.28E-11	0	CREG1
TPM3	9.63E-16	-0.258070046	0.442	0.494	1.32E-11	0	TPM3
LAMTOR5	1.19E-15	-0.320278759	0.224	0.318	1.63E-11	0	LAMTOR5
GNG5	1.33E-15	-0.346054278	0.219	0.345	1.83E-11	0	GNG5
CD28	1.39E-15	0.294454639	0.106	0.028	1.91E-11	0	CD28
C11orf31	1.64E-15	-0.300530874	0.381	0.49	2.25E-11	0	C11orf31
FLNA	1.73E-15	-0.390288647	0.139	0.263	2.38E-11	0	FLNA
PTPN18	1.77E-15	-0.316088237	0.088	0.179	2.43E-11	0	PTPN18
GNAS	1.93E-15	-0.309922689	0.235	0.343	2.65E-11	0	GNAS
COPE	2.02E-15	-0.317542289	0.364	0.484	2.76E-11	0	COPE
OAS1	2.19E-15	-0.262421706	0.122	0.248	3.00E-11	0	OAS1
ECHDC1	2.22E-15	-0.273238585	0.091	0.118	3.04E-11	0	ECHDC1
CARS2	2.24E-15	-0.289907728	0.041	0.113	3.07E-11	0	CARS2
ITK	2.29E-15	0.299511981	0.129	0.042	3.14E-11	0	ITK
JUND	2.40E-15	-0.450737551	0.098	0.194	3.30E-11	0	JUND
FAM102A	2.44E-15	0.312264483	0.124	0.039	3.35E-11	0	FAM102A
MYO1G	2.53E-15	-0.273668725	0.185	0.268	3.47E-11	0	MYO1G
SNF8	2.63E-15	-0.251155033	0.154	0.215	3.61E-11	0	SNF8
LGALS3BP	3.48E-15	0.256997258	0.104	0.034	4.78E-11	0	LGALS3BP
LSM10	3.78E-15	-0.329481669	0.143	0.26	5.19E-11	0	LSM10
PRDX6	4.24E-15	-0.250157576	0.242	0.315	5.81E-11	0	PRDX6
GLUL	6.06E-15	-0.338022484	0.072	0.158	8.31E-11	0	GLUL
TNFAIP8	6.13E-15	0.37192781	0.333	0.192	8.41E-11	0	TNFAIP8
CECR1	6.55E-15	-0.262683425	0.056	0.145	8.98E-11	0	CECR1
CCDC109B	6.92E-15	0.379646361	0.402	0.263	9.49E-11	0	CCDC109B
UCP2	7.86E-15	-0.291077522	0.515	0.583	1.08E-10	0	UCP2
RP11-51J9.5	8.05E-15	0.36995464	0.172	0.072	1.10E-10	0	RP11-51J9.5
LYAR	9.54E-15	-0.464694737	0.152	0.207	1.31E-10	0	LYAR
EIF6	9.64E-15	-0.311709353	0.164	0.268	1.32E-10	0	EIF6
CAPNS1	9.65E-15	-0.283584384	0.078	0.165	1.32E-10	0	CAPNS1
BUD31	9.65E-15	-0.252566612	0.204	0.291	1.32E-10	0	BUD31
ST13	1.47E-14	0.297901792	0.483	0.336	2.01E-10	0	ST13
PSMB8	1.50E-14	-0.268537385	0.37	0.523	2.06E-10	0	PSMB8
PIM2	1.57E-14	0.322447856	0.214	0.103	2.15E-10	0	PIM2
RIC3	1.62E-14	0.410758726	0.149	0.056	2.22E-10	0	RIC3
CDC42EP3	2.01E-14	-0.262185491	0.101	0.141	2.76E-10	0	CDC42EP3
RNASEH2C	2.25E-14	-0.253595878	0.131	0.2	3.08E-10	0	RNASEH2C
GDI2	2.44E-14	-0.250350773	0.263	0.33	3.35E-10	0	GDI2
MAP2K3	2.59E-14	-0.275110987	0.097	0.173	3.55E-10	0	MAP2K3
ERP44	2.70E-14	-0.345985453	0.121	0.214	3.70E-10	0	ERP44
PHPT1	3.27E-14	-0.308541902	0.111	0.2	4.48E-10	0	PHPT1
IQGAP1	3.68E-14	-0.260328763	0.07	0.14	5.04E-10	0	IQGAP1
SERPINB6	3.98E-14	-0.296704112	0.138	0.232	5.46E-10	0	SERPINB6
SCML4	4.11E-14	0.2764929	0.119	0.038	5.63E-10	0	SCML4
SHKBP1	4.87E-14	-0.272260591	0.114	0.201	6.68E-10	0	SHKBP1
PARP14	6.97E-14	-0.254143608	0.043	0.105	9.55E-10	0	PARP14
RPL41	7.11E-14	0.25770986	0.617	0.479	9.75E-10	0	RPL41
RAB8A	7.77E-14	-0.311451259	0.165	0.251	1.07E-09	0	RAB8A
FIBP	9.03E-14	-0.266318109	0.129	0.202	1.24E-09	0	FIBP
COX8A	1.33E-13	-0.310787306	0.307	0.44	1.82E-09	0	COX8A
RTN4	1.73E-13	-0.28286663	0.19	0.275	2.37E-09	0	RTN4
CD97	2.09E-13	-0.290662195	0.169	0.265	2.87E-09	0	CD97
PLEKHF2	2.16E-13	-0.293801106	0.056	0.114	2.97E-09	0	PLEKHF2
PRR13	2.22E-13	-0.263419886	0.423	0.521	3.05E-09	0	PRR13
SNAPIN	2.23E-13	-0.28534813	0.082	0.14	3.05E-09	0	SNAPIN
CYC1	2.47E-13	-0.291348045	0.133	0.235	3.39E-09	0	CYC1
LAP3	2.94E-13	-0.313808272	0.096	0.195	4.03E-09	0	LAP3
TNFRSF25	3.25E-13	0.340532509	0.104	0.032	4.45E-09	0	TNFRSF25
CSK	3.99E-13	-0.30148882	0.162	0.261	5.47E-09	0	CSK
RILPL2	4.26E-13	-0.258980589	0.157	0.213	5.84E-09	0	RILPL2
MARCKSL1	4.86E-13	-0.281280017	0.153	0.204	6.67E-09	0	MARCKSL1
MSN	5.10E-13	-0.277555384	0.231	0.323	6.99E-09	0	MSN
PTP4A2	5.43E-13	-0.264455009	0.191	0.271	7.44E-09	0	PTP4A2
ILK	5.84E-13	-0.28532628	0.077	0.136	8.01E-09	0	ILK
ARF5	6.82E-13	-0.289828824	0.234	0.344	9.36E-09	0	ARF5
ZNHIT1	9.70E-13	-0.255451493	0.225	0.309	1.33E-08	0	ZNHIT1
EIF3E	1.41E-12	0.320086086	0.444	0.32	1.94E-08	0	EIF3E
PARVG	1.51E-12	-0.274806748	0.093	0.195	2.07E-08	0	PARVG
RNH1	1.57E-12	-0.285621508	0.252	0.343	2.15E-08	0	RNH1
IFI35	1.60E-12	-0.308889252	0.117	0.226	2.20E-08	0	IFI35
APMAP	1.68E-12	-0.366690244	0.07	0.16	2.30E-08	0	APMAP
MZT2B	1.88E-12	0.297286096	0.453	0.317	2.57E-08	0	MZT2B
MRPL28	2.11E-12	-0.264556632	0.07	0.125	2.89E-08	0	MRPL28
ATP6V0E2	2.45E-12	0.326609514	0.133	0.05	3.36E-08	0	ATP6V0E2
ETS1	2.48E-12	0.266230844	0.15	0.066	3.40E-08	0	ETS1
ITGAL	2.52E-12	-0.269395737	0.058	0.133	3.45E-08	0	ITGAL
CAT	2.69E-12	-0.278560964	0.107	0.163	3.69E-08	0	CAT
OSTF1	2.72E-12	-0.286495841	0.256	0.345	3.73E-08	0	OSTF1
ADD3	3.03E-12	0.270915904	0.253	0.145	4.16E-08	0	ADD3
ATP6V0E1	7.84E-12	-0.260445765	0.533	0.581	1.07E-07	0	ATP6V0E1
TIMM13	8.76E-12	-0.30381285	0.148	0.25	1.20E-07	0	TIMM13
UXS1	9.71E-12	0.32230813	0.121	0.046	1.33E-07	0	UXS1
HERPUD1	1.20E-11	-0.280072897	0.164	0.246	1.65E-07	0	HERPUD1
UQCRC1	1.23E-11	-0.284182723	0.122	0.229	1.68E-07	0	UQCRC1
DDX18	1.32E-11	0.26467097	0.228	0.133	1.81E-07	0	DDX18
POLR2L	1.43E-11	-0.262361872	0.305	0.395	1.97E-07	0	POLR2L
KLRG1	1.79E-11	-0.311526224	0.082	0.142	2.45E-07	0	KLRG1
SRSF9	2.21E-11	-0.263746564	0.252	0.345	3.03E-07	0	SRSF9
IFI27L2	2.37E-11	-0.288735162	0.117	0.196	3.25E-07	0	IFI27L2
LCP1	2.40E-11	-0.25817549	0.337	0.42	3.29E-07	0	LCP1
FOXP1	2.52E-11	0.29911912	0.224	0.122	3.46E-07	0	FOXP1
